Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37617.08it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8211.21it/s]
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
epoch=1/10 step=1600/2000 loss=0.7459 samples_per_sec=2.83
epoch=1/10 step=1610/2000 loss=0.7615 samples_per_sec=2.93
epoch=1/10 step=1620/2000 loss=0.7109 samples_per_sec=2.73
epoch=1/10 step=1630/2000 loss=0.6765 samples_per_sec=2.89
epoch=1/10 step=1640/2000 loss=0.7628 samples_per_sec=2.79
epoch=1/10 step=1650/2000 loss=0.6921 samples_per_sec=2.63
epoch=1/10 step=1660/2000 loss=0.6559 samples_per_sec=2.78
epoch=1/10 step=1670/2000 loss=0.7791 samples_per_sec=2.61
epoch=1/10 step=1680/2000 loss=0.6693 samples_per_sec=2.77
epoch=1/10 step=1690/2000 loss=0.7666 samples_per_sec=2.89
epoch=1/10 step=1700/2000 loss=0.7542 samples_per_sec=2.94
epoch=1/10 step=1710/2000 loss=0.6939 samples_per_sec=2.77
epoch=1/10 step=1720/2000 loss=0.7377 samples_per_sec=2.74
epoch=1/10 step=1730/2000 loss=0.7256 samples_per_sec=2.64
epoch=1/10 step=1740/2000 loss=0.7206 samples_per_sec=3.01
epoch=1/10 step=1750/2000 loss=0.7439 samples_per_sec=2.77
epoch=1/10 step=1760/2000 loss=0.7135 samples_per_sec=2.64
epoch=1/10 step=1770/2000 loss=0.7883 samples_per_sec=2.95
epoch=1/10 step=1780/2000 loss=0.6848 samples_per_sec=2.91
epoch=1/10 step=1790/2000 loss=0.7568 samples_per_sec=2.91
epoch=1/10 step=1800/2000 loss=0.7437 samples_per_sec=2.86
epoch=1/10 step=1810/2000 loss=0.8039 samples_per_sec=2.72
epoch=1/10 step=1820/2000 loss=0.7584 samples_per_sec=2.82
epoch=1/10 step=1830/2000 loss=0.7622 samples_per_sec=2.79
epoch=1/10 step=1840/2000 loss=0.7643 samples_per_sec=3.01
epoch=1/10 step=1850/2000 loss=0.7198 samples_per_sec=2.84
epoch=1/10 step=1860/2000 loss=0.5937 samples_per_sec=2.64
epoch=1/10 step=1870/2000 loss=0.6103 samples_per_sec=2.63
epoch=1/10 step=1880/2000 loss=0.7628 samples_per_sec=2.93
epoch=1/10 step=1890/2000 loss=0.7155 samples_per_sec=2.68
epoch=1/10 step=1900/2000 loss=0.7597 samples_per_sec=2.78
epoch=1/10 step=1910/2000 loss=0.7235 samples_per_sec=2.84
epoch=1/10 step=1920/2000 loss=0.7449 samples_per_sec=2.77
epoch=1/10 step=1930/2000 loss=0.6915 samples_per_sec=2.66
epoch=1/10 step=1940/2000 loss=0.7334 samples_per_sec=2.81
epoch=1/10 step=1950/2000 loss=0.7413 samples_per_sec=3.17
epoch=1/10 step=1960/2000 loss=0.6512 samples_per_sec=2.65
